Store ID,ADDRESS,ADDRESS 2,CITY,WAREHOUSEID,STATE and PIN,Lat,Long
140033113,,5702 FIRESTONE BLVD ,SOUTH GATE,XXXXX,CA,33.9480794,118.1684027
140002512,,11875 PIGEON RD ,MORENO VALLEY,XXXXX,CA,33.9481389,117.2618303
140001763,,1430 BEAUMONT AVE ,BEAUMONT,XXXXX,CA,33.9482109,116.9756636
140037312,,3471 W CENTURY BLVD ,INGLEWOOD,XXXXX,CA,33.9483124,118.3335923
200635851,,5871 FIRESTONE BLVD ,SOUTH GATE,XXXXX,CA,33.9497119,118.1618211
140003467,,14919 WHITTIER BLVD ,WHITTIER,XXXXX,CA,33.9499984,118.0071724
140001829,,13200 PALM DR ,DESERT HOT SPRINGS,XXXXX,CA,33.952498,116.5004305
140016326,,3520 RIVERSIDE PLZ DR ,RIVERSIDE,XXXXX,CA,33.954647,117.38948
140006465,,10001 PARAMOUNT BLVD ,DOWNEY,XXXXX,CA,33.9547434,118.1295491
100038148,,4651 FIRESTONE BLVD ,SOUTH GATE,XXXXX,CA,33.954813,118.187613
140011347,,9200 LAKEWOOD BLVD ,DOWNEY,XXXXX,CA,33.9555449,118.1122663
100012913,,3211 FIRESTONE BLVD ,SOUTH GATE,XXXXX,CA,33.9561858,118.2129137
140014119,,5225 CANYON CRST DR ,RIVERSIDE,XXXXX,CA,33.9564166,117.3312868
140003431,,8824 SEPULVEDA WESTWAY ,LOS ANGELES,XXXXX,CA,33.9564753,118.397824
140033678,,8811 S WESTERN AVE ,LOS ANGELES,XXXXX,CA,33.9575214,118.3094995
140003441,,8701 LINCOLN BLVD ,LOS ANGELES,XXXXX,CA,33.9582153,118.4186378
100002996,,7420 E FLORENCE AVE ,DOWNEY,XXXXX,CA,33.9583725,118.1395958
140028498,,6155 MAGNOLIA AVE ,RIVERSIDE,XXXXX,CA,33.9591562,117.3944211
140023572,,1730 W MANCHESTER AVE ,LOS ANGELES,XXXXX,CA,33.9592866,118.3079247
140045212,,7070 ARCHIBALD ST ,CORONA,XXXXX,CA,33.9597787,117.5917274
140030435,,8601 HOOPER AVE ,LOS ANGELES,XXXXX,CA,33.9598784,118.2547637
140012768,,9101 TELEGRAPH RD ,PICO RIVERA,XXXXX,CA,33.9601765,118.1076044
140006514,,500 E MANCHESTER BLVD ,INGLEWOOD,XXXXX,CA,33.9604025,118.3492995
140044291,,8448 LINCOLN BLVD ,LOS ANGELES,XXXXX,CA,33.9610911,118.4191398
